latitude longitude
12.1935 -68.295
12.1706666666667 -68.306
12.89625 -69.5635
13.15025 -70.1575
13.4606666666667 -71.3806666666667
14.8465 -78.183
13.71 -72.988
13.969 -73.896
13.949 -74.747
13.943 -75.254
14.098 -76.47
14.1105 -77.1155
14.27875 -77.6465
14.9223333333333 -78.958
15.295 -79.8673333333333
15.6662 -80.2552
16.2516 -80.8248
16.7 -81.344
16.7702 -81.9816
16.616 -82.154
16.208 -82.2165
15.835 -81.983
15.711 -81.974
15.75575 -81.95375
15.763 -81.9735
15.7505 -81.9515
15.751 -81.983
15.767 -81.964
15.7453333333333 -81.9693333333333
15.7273333333333 -81.974
15.765 -81.957
15.771 -81.958
15.73475 -81.9535
15.784 -81.958
15.7125 -81.9095
15.7382 -81.9992
15.764 -81.951
15.75375 -81.96
15.6636666666667 -82.211
15.7635 -81.97
15.744 -81.92
15.743 -81.9376666666667
15.76575 -81.92025
15.755 -81.973
15.783 -81.9708
15.778 -81.95
15.7783333333333 -81.933
15.7555 -81.9875
15.7413333333333 -81.9616666666667
15.746 -81.947
15.756 -81.966
15.758 -81.944
15.726 -82.018
15.749 -81.9936666666667
15.7456666666667 -81.9306666666667
15.693 -82.246
15.7095 -81.9955
15.667 -82.086
15.655 -82.077
15.5785 -82.095
15.702 -81.929
15.63075 -82.13875
15.712 -82.067
15.6345 -82.055
15.651 -82.0185
15.6256666666667 -82.0193333333333
15.6145 -81.983
15.7615 -81.9655
15.703 -81.87075
15.748 -81.94075
15.763 -81.949
15.72375 -81.955
15.6105 -82.024
15.658 -82.0935
15.6628333333333 -82.1205
15.662 -82.089
15.685 -82.1056666666667
15.748 -81.946
15.7755 -81.938
15.6935 -82.05825
15.642 -82.158
15.6765 -82.092
15.662 -82.034
15.691 -82.0376666666667
15.70025 -81.96475
15.689 -81.9495
15.6835 -82.0335
15.6555 -82.0835
15.748 -81.97
15.7443333333333 -81.9806666666667
15.731 -81.991
15.7646666666667 -82.0126666666667
15.766 -81.9975
15.763 -81.9615
15.758 -81.7865
12.187 -68.28275
12.1715 -68.321
12.1555 -68.322
12.162 -68.286
12.1384 -68.3054
12.215 -68.37
12.5405 -68.46375
13.224 -68.704
14.4296666666667 -68.874
15.079 -68.8685
15.2855 -69.049
15.7115 -69.2715
16.408 -69.081
16.4356666666667 -68.8823333333333
16.888 -68.991
17.306 -68.977
17.6372 -68.8742
17.9576666666667 -68.5436666666667
18.348 -68.336
18.074 -67.227
17.934 -66.552
17.92 -66.313
18.128 -65.651
18.184 -65.596
18.158 -65.629
18.1985 -65.576
18.1875 -65.634
18.1665 -65.6135
18.205 -65.623
18.199 -65.596
18.204 -65.585
18.196 -65.613
18.18 -65.642
18.2285 -65.608
18.1805 -65.6035
18.1793333333333 -65.601
18.178 -65.619
18.267 -65.589
18.167 -65.64
18.135 -65.639
18.144 -65.698
18.2245 -65.528
18.1675 -65.62
18.208 -65.608
18.19 -65.602
18.136 -65.622
18.14 -65.647
18.176 -65.651
18.191 -65.5876666666667
18.1725 -65.59625
18.12 -65.568
18.175 -65.5933333333333
18.166 -65.62
18.185 -65.61
18.184 -65.576
18.1665 -65.589
18.1603333333333 -65.573
18.136 -65.5745
18.1805 -65.624
18.228 -65.5855
