latitude longitude
16.514 -70.793
13.325 -70.771
17.775 -70.635
13.32 -70.371
11.084 -74.54
11.088 -74.45
11.079 -74.374
11.072 -74.34
17.319 -73.979
17.319 -73.979
17.922 -73.868
17.922 -73.868
12.492 -69.061
18.335 -69.734
19.359 -68.735
12.128 -68.572
12.216 -68.292
12.177 -68.284
17.544 -75.935
16.235 -79.951
17.616 -75.633
17.709 -75.594
17.651 -75.536
14.678 -71.195
14.678 -71.195
11.124 -74.514
11.127 -74.441
13.331 -71.674
12.434 -68.582
12.324 -68.403
12.146 -68.372
12.165 -68.274
12.119 -68.139
11.433 -67.968
13.342 -66.226
18.428 -63.989
15.672 -81.097
15.211 -69.775
15.1 -77.705
15.433 -81.05
17.706 -75.644
11.295 -74.291
11.95 -70.283
17.4 -70.166
17.716 -75.598
15.342 -71.312
15.342 -71.312
16.561 -70.801
11.937 -70.481
11.074 -74.491
11.041 -74.4
15.597 -73.028
12.427 -69.398
12.162 -68.289
12.28 -68.413
12.198 -68.395
17.338 -68.098
11.31 -67.643
18.571 -64.122
18.267 -64.929
18.593 -64.212
18.578 -64.064
16.02 -80.6
16.075 -80.479
15.203 -78.99
15.994 -79.956
11.038 -74.328
15.467 -80.989
10.793 -75.757
17.565 -75.706
16.569 -80.107
14.813 -77.429
17.694 -75.633
16.18 -74.128
16.18 -74.128
15.005 -75.621
17.764 -75.551
17.67 -75.53
17.726 -75.492
17.712 -75.644
11.092 -74.568
17.773 -70.98
16.466 -70.603
18.303 -74.509
11.159 -74.483
11.133 -74.433
20.138 -68.969
13.802 -73.175
20.15 -68.856
20.109 -68.847
12.068 -68.357
12.185 -68.281
12.128 -68.202
16.651 -67.555
13.867 -65.981
13.693 -65.035
16.196 -80.641
12.2 -68.324
15.435 -80.966
17.687 -75.641
14.965 -78.409
17.761 -75.623
17.657 -75.541
13.504 -74.526
11.096 -74.48
11.135 -74.469
11.112 -74.33
11.773 -73.002
11.787 -72.87
12.46 -68.826
12.201 -68.248
13.558 -65.826
11.834 -66.627
11.841 -66.538
12.164 -69.407
11.927 -65.355
18.48 -64.33
14.811 -74.026
16.038 -79.946
12.171 -68.327
16.081 -80.49
12.168 -68.296
17.707 -75.645
17.638 -75.96
16.762 -74.218
16.895 -74.21
17.723 -75.621
17.618 -75.453
16.95 -70.74
16.95 -70.74
13.581 -70.554
17.411 -70.391
20.12 -68.829
12.343 -68.369
12.164 -68.298
12.124 -68.285
13.693 -65.914
11.845 -66.755
11.84 -66.738
13.948 -66.694
17.871 -66.471
17.448 -76.114
18.33 -64.58
18.318 -64.551
16.094 -80.563
12.384 -68.816
13.738 -70.843
17.711 -75.643
17.729 -75.691
17.667 -75.676
17.501 -75.119
14.918 -78.423
14.775 -77.276
17.294 -76.487
13.688 -74.11
18.386 -74.823
12.639 -71.073
17.502 -70.915
12.145 -72.303
13.546 -72.252
16.19 -69.383
15.123 -68.945
12.033 -68.771
11.827 -68.287
12.086 -68.356
12.163 -68.344
12.163 -68.294
15.185 -67.606
10.887 -66.984
13.924 -66.764
14.793 -66.71
14.006 -66.161
18.297 -64.638
18.436 -64.382
15.923 -79.977
14.421 -79.268
17.609 -75.721
15.597 -80.039
17.789 -75.606
11.123 -74.432
13.582 -68.926
12.669 -68.546
12.163 -68.406
12.159 -68.324
12.164 -68.296
10.908 -67.178
11.833 -66.725
12.415 -69.473
18.678 -64.037
13.582 -68.926
16.177 -80.735
13.478 -72.221
14.934 -76.086
14.313 -76.08
17.711 -75.868
18.19 -75.219
14.042 -74.893
15.496 -79.81
13.327 -70.31
17.78 -75.559
11.091 -74.367
20.163 -68.964
13.733 -72.705
14.762 -72.762
12.837 -69.797
18.407 -69.752
18.407 -69.752
18.389 -69.498
12.475 -68.815
12.166 -68.335
12.166 -68.335
12.166 -68.335
12.158 -68.299
14.232 -66.969
13.72 -65.929
14.418 -65.779
11.835 -66.745
13.97 -64.994
12.174 -68.175
11.943 -70.275
17.693 -75.596
17.802 -75.475
17.594 -75.368
11.225 -74.627
14.1 -70.599
19.613 -68.949
12.18 -68.351
12.167 -68.332
12.206 -68.329
12.164 -68.319
12.164 -68.319
12.164 -68.319
12.167 -68.316
12.216 -68.226
12.158 -68.266
11.445 -68.02
13.566 -65.844
18.621 -64.119
13.752 -68.07
18.626 -64.42
18.588 -64.166
15.433 -81.021
17.711 -75.664
16.118 -82.735
17.63 -75.551
15.327 -71.39
14.617 -70.579
14.617 -70.579
11.056 -74.503
11.092 -74.484
12.81 -69.136
20.08 -68.773
12.143 -68.314
12.143 -68.314
12.143 -68.314
12.124 -68.282
14.335 -67.988
14.878 -67.82
12.241 -67.767
13.507 -65.901
18.095 -65.617
11.875 -66.601
11.808 -66.55
11.503 -66.302
18.615 -64.214
16.085 -80.492
14.562 -74
17.732 -75.651
